,USME,CIUDAD BOLIVAR,SAN CRISTOBAL,RAFAEL URIBE,TUNJUELITO,SANTA FE,ANTONIO NARINO,PUENTE ARANDA,LOS MARTIRES,CANDELARIA,BOSA,KENNEDY,TEUSAQUILLO,CHAPINERO,FONTIBON,ENGATIVA,BARRIOS UNIDOS,USAQUEN,SUBA
1900,0,0,2,3,5,0,1,5,5,0,4,15,0,0,0,6,0,4,0
1901,0,0,0,3,5,0,1,6,4,0,6,15,0,0,0,5,0,5,0
1902,0,0,1,3,5,0,1,5,4,0,5,14,0,0,0,6,0,6,0
1903,0,0,2,3,5,0,1,5,3,0,5,14,0,0,0,6,0,6,0
1904,0,0,2,3,5,0,2,5,4,0,5,14,0,0,0,6,0,4,0
1905,0,0,1,3,5,0,2,6,2,0,6,14,0,0,0,5,0,6,0
1906,0,0,0,5,5,0,2,6,2,0,6,14,0,0,0,6,0,4,0
1907,0,0,0,5,5,0,1,6,3,0,5,15,0,0,0,6,0,4,0
1908,0,0,0,4,5,0,1,4,4,0,6,13,1,0,0,7,0,5,0
1909,0,0,1,4,5,0,1,3,3,0,5,15,1,0,0,6,0,6,0
1910,0,0,1,5,5,0,1,3,2,0,5,17,1,0,0,4,0,6,0
1911,0,0,1,5,5,0,1,3,3,0,7,15,0,0,0,4,0,6,0
1912,0,0,1,4,7,0,1,3,3,0,7,16,0,0,0,4,0,4,0
1913,0,0,1,5,6,0,1,3,3,0,7,16,0,0,0,5,0,3,0
1914,0,0,1,6,5,0,1,4,3,0,7,16,0,0,0,4,0,3,0
1915,0,0,0,5,7,0,2,4,3,0,7,16,0,0,0,4,0,2,0
1916,0,0,0,5,4,0,2,3,3,0,7,16,0,0,0,6,1,3,0
1917,0,0,1,5,4,0,2,4,3,0,7,15,0,0,0,5,1,3,0
1918,0,0,0,5,5,0,2,4,2,0,7,17,0,0,0,4,1,3,0
1919,0,0,1,5,6,0,2,5,2,0,7,15,0,0,0,3,1,3,0
1920,0,0,0,6,6,0,2,4,3,0,5,16,0,0,0,3,1,4,0
1921,0,0,0,6,6,0,2,4,2,0,5,16,0,0,0,3,1,5,0
1922,0,0,0,6,6,0,2,5,3,0,6,15,0,0,0,3,0,4,0
1923,0,0,0,6,5,0,2,3,3,0,7,16,0,0,0,2,1,5,0
1924,0,0,0,6,6,0,2,3,2,0,7,18,0,0,0,2,0,4,0
1925,0,0,0,6,6,0,2,3,3,0,6,17,1,0,0,2,1,3,0
1926,0,0,0,6,6,0,2,3,3,0,7,15,1,0,0,2,2,3,0
1927,0,0,0,6,6,0,3,3,3,0,6,17,1,0,0,2,1,2,0
1928,0,0,1,6,6,0,2,3,3,0,7,16,0,0,0,3,0,3,0
1929,0,0,1,6,6,0,1,3,3,0,9,16,1,0,0,2,0,2,0
1930,0,0,2,6,6,0,2,3,3,0,6,14,1,0,0,2,1,4,0
1931,0,0,0,6,6,0,1,2,3,0,7,17,1,0,0,3,1,3,0
1932,0,0,1,6,6,0,0,2,3,0,6,16,1,0,0,4,2,3,0
1933,0,0,0,6,8,0,1,2,3,0,5,16,0,0,0,4,3,2,0
1934,0,0,1,6,8,0,1,2,4,0,6,15,0,0,0,3,2,2,0
1935,0,0,1,6,9,0,1,2,3,0,7,15,0,0,0,3,2,1,0
1936,0,0,0,6,8,0,0,2,3,0,6,17,0,0,0,4,2,2,0
1937,0,0,0,5,6,0,2,3,4,0,7,16,0,0,0,2,2,3,0
1938,0,0,1,5,7,0,1,2,3,0,7,15,0,0,0,3,3,3,0
1939,0,0,0,5,7,0,1,3,3,0,4,19,0,0,0,2,3,3,0
1940,0,0,0,4,7,0,2,2,2,0,7,17,0,0,0,2,4,3,0
1941,0,0,0,5,5,0,2,2,2,0,7,17,0,0,0,3,4,3,0
1942,0,0,1,4,5,0,2,2,2,0,7,17,0,0,0,3,4,3,0
1943,0,0,1,5,5,0,2,2,2,0,5,17,0,0,0,4,5,2,0
1944,0,0,0,5,5,0,1,2,3,0,7,16,0,0,0,5,4,2,0
1945,0,0,0,5,4,0,1,3,3,0,6,16,0,0,0,5,5,2,0
1946,0,0,1,5,4,0,1,3,2,0,5,19,0,0,0,4,5,1,0
1947,0,0,2,5,5,0,1,3,2,0,6,16,0,0,0,4,4,2,0
1948,0,0,1,5,4,0,1,4,3,0,6,17,0,0,0,4,3,2,0
1949,0,0,1,5,5,0,1,3,3,0,5,17,0,0,0,5,3,2,0
1950,0,0,2,5,5,0,1,3,3,0,5,16,0,0,0,5,4,1,0
1951,0,0,3,5,4,0,1,3,3,0,5,17,0,0,0,4,4,1,0
1952,0,0,2,5,3,0,1,3,3,0,5,16,1,0,0,5,5,1,0
1953,0,0,3,4,3,0,1,3,3,0,5,18,1,0,0,3,5,1,0
1954,0,0,3,5,4,0,1,3,3,0,5,16,0,0,0,4,5,1,0
1955,0,0,2,5,4,0,1,3,2,0,6,17,1,0,0,3,5,1,0
1956,0,0,2,5,3,0,2,3,3,0,6,17,0,0,0,3,5,1,0
1957,0,0,3,5,4,0,1,3,3,0,5,16,1,0,0,3,5,1,0
1958,0,0,2,5,4,0,1,3,3,0,5,18,0,0,0,3,4,2,0
1959,0,0,3,5,4,0,1,3,3,0,5,16,0,0,0,3,4,3,0
1960,0,0,3,5,5,0,1,3,2,0,4,18,0,0,0,3,3,3,0
1961,0,0,3,5,5,0,2,3,2,0,4,17,0,0,0,4,3,2,0
1962,0,0,3,6,4,0,1,3,3,0,3,18,0,0,0,4,3,2,0
1963,0,0,3,7,5,0,1,3,2,0,3,16,1,0,1,4,2,2,0
1964,0,0,2,5,6,0,1,3,2,0,2,16,1,0,0,6,4,2,0
1965,0,0,2,5,5,0,1,3,1,0,4,18,1,0,0,5,3,2,0
1966,0,0,1,4,5,0,1,3,1,0,6,18,1,0,0,5,3,2,0
1967,0,0,1,5,5,0,1,3,1,0,7,16,1,0,0,4,4,2,0
1968,0,0,1,5,5,0,2,3,1,0,5,16,1,0,0,5,4,2,0
1969,0,0,1,5,4,0,1,2,1,0,7,16,1,0,0,5,5,2,0
1970,0,0,2,6,4,0,1,2,1,0,5,16,2,0,1,3,5,2,0
1971,0,0,1,6,4,0,1,3,1,0,4,17,1,0,1,4,5,2,0
1972,0,0,2,6,5,0,1,3,1,0,3,18,0,0,1,3,5,2,0
1973,0,0,1,6,5,0,1,3,1,0,5,18,0,0,1,3,3,3,0
1974,0,0,0,6,4,0,1,4,1,0,4,18,0,0,1,4,5,2,0
1975,0,0,0,5,5,0,1,4,1,0,5,18,0,0,1,4,4,2,0
1976,0,0,0,6,5,0,1,4,1,0,4,16,1,0,1,4,4,3,0
1977,0,0,0,6,5,0,2,4,1,0,4,17,1,0,0,4,3,3,0
1978,0,0,0,5,5,0,2,4,1,0,6,16,1,0,0,2,4,4,0
1979,0,0,0,5,4,0,1,2,1,0,7,17,2,0,0,5,3,3,0
1980,0,0,0,5,5,0,2,2,1,0,7,16,2,0,0,4,2,4,0
1981,0,0,0,6,5,0,2,3,1,0,6,17,1,0,1,4,2,2,0
1982,0,0,0,5,5,0,2,3,1,0,5,18,2,0,1,3,2,3,0
1983,0,0,0,6,4,0,1,3,1,0,5,19,2,0,1,3,2,3,0
1984,0,0,0,6,5,0,2,3,1,0,5,18,1,0,1,4,2,2,0
1985,0,0,0,5,5,0,2,3,2,0,4,18,2,0,1,4,2,2,0
1986,0,0,0,5,4,0,2,3,1,0,5,18,2,0,1,6,1,2,0
1987,0,0,0,6,5,0,2,4,1,0,4,17,1,0,1,4,2,3,0
1988,0,0,0,6,5,0,1,4,2,0,3,18,0,0,1,6,1,3,0
1989,0,0,0,5,4,0,3,4,2,0,4,18,1,0,1,5,1,2,0
1990,0,0,0,6,5,0,3,3,2,0,5,18,0,0,1,4,1,2,0
1991,0,0,0,6,5,0,3,3,1,0,6,17,2,0,0,5,0,2,0
1992,0,0,0,4,4,0,1,3,2,0,9,17,2,0,0,5,1,2,0
1993,0,0,0,6,3,0,2,3,2,0,9,17,2,0,0,3,1,2,0
1994,0,0,0,5,3,0,2,3,2,0,8,17,2,0,0,4,1,3,0
1995,0,0,0,5,4,0,2,3,2,0,8,16,1,0,0,4,1,4,0
1996,0,0,0,8,4,0,3,2,2,0,6,15,1,0,0,4,2,3,0
1997,0,0,0,6,4,0,3,3,2,0,6,17,0,0,0,3,2,4,0
1998,0,0,0,6,3,0,3,3,2,0,6,16,0,0,0,5,2,4,0
1999,0,0,0,6,3,0,3,3,2,0,5,17,0,0,0,4,3,4,0
2000,0,0,0,6,3,0,3,3,2,0,6,17,1,0,0,2,3,4,0
2001,0,0,0,5,3,0,2,3,2,0,6,18,0,0,0,4,3,4,0
2002,0,0,0,4,2,0,3,3,2,0,6,18,1,0,0,4,3,4,0
2003,0,0,0,4,2,0,3,3,3,0,5,16,1,0,0,5,3,5,0
2004,0,0,0,4,2,0,3,2,3,0,4,18,1,0,0,4,3,5,1
2005,0,0,0,5,2,0,3,1,3,0,5,18,1,0,0,5,3,4,0
2006,0,0,2,4,2,0,3,2,2,0,5,16,1,0,0,5,3,5,0
2007,0,0,1,4,5,0,3,1,3,0,4,15,1,0,0,5,2,5,1
2008,0,0,0,3,4,0,3,1,3,0,5,16,1,0,0,6,4,4,0
2009,0,0,0,3,4,0,3,2,3,0,4,16,1,0,0,6,4,4,0
2010,0,0,0,3,5,0,3,2,3,0,4,16,1,0,1,5,3,3,1
2011,0,0,0,4,4,0,3,2,3,0,5,16,1,0,0,4,5,2,1
2012,0,0,0,5,4,0,3,2,3,0,5,15,1,0,0,4,5,2,1
2013,0,0,0,6,4,0,2,2,3,0,5,16,1,0,0,4,4,3,0
2014,0,0,0,7,4,0,2,2,3,0,5,17,1,0,0,3,3,3,0
2015,0,0,0,4,3,0,2,2,3,0,7,18,1,0,0,4,4,2,0
2016,0,0,0,5,4,0,2,2,3,0,5,17,1,0,0,4,5,2,0
2017,0,0,0,5,3,0,2,1,3,0,5,18,1,0,0,6,4,2,0
2018,0,0,0,4,4,0,2,1,3,0,4,18,1,0,0,7,4,2,0
2019,0,0,0,6,4,0,2,1,3,0,7,17,1,0,0,4,3,2,0
2020,0,0,0,6,4,0,3,1,3,0,6,16,1,0,0,6,3,1,0
2021,0,0,0,6,4,0,3,1,3,0,5,18,2,0,0,5,2,1,0
2022,0,0,0,5,4,0,3,1,3,0,6,17,2,0,1,5,2,1,0
2023,0,0,0,5,4,0,2,1,3,0,6,18,2,0,1,6,1,1,0
2024,0,0,0,5,4,0,3,1,3,0,7,18,1,0,0,5,2,1,0
2025,0,0,0,5,4,0,3,0,3,0,7,17,1,0,0,6,1,3,0
2026,0,0,0,4,4,0,3,1,3,0,8,15,1,0,0,6,2,3,0
2027,0,0,0,5,4,0,3,1,3,0,7,16,1,0,0,6,2,2,0
2028,0,0,0,6,3,0,2,1,3,0,8,15,1,0,0,6,2,3,0
2029,0,0,0,5,4,0,2,1,3,0,8,16,1,0,0,5,3,2,0
2030,0,0,0,5,4,0,2,1,3,0,8,16,0,0,0,5,4,2,0
2031,0,0,0,4,3,0,2,1,3,0,6,18,1,0,0,5,4,3,0
2032,0,0,0,4,3,0,2,1,2,0,6,19,1,0,0,6,4,2,0
2033,0,0,0,5,3,0,2,1,2,0,7,17,1,0,0,6,4,2,0
2034,0,0,0,5,3,0,2,1,2,0,5,18,1,0,0,7,4,2,0
2035,0,0,0,5,2,0,2,1,3,0,5,19,1,0,0,6,4,2,0
2036,0,0,0,5,2,0,2,1,3,0,4,20,1,0,0,6,4,2,0
2037,0,0,0,5,2,0,2,1,3,0,5,19,1,0,0,6,4,2,0
2038,0,0,0,5,2,0,2,1,3,0,3,20,2,0,0,6,4,2,0
2039,0,0,0,6,3,0,2,0,3,0,4,18,2,0,0,6,4,2,0
2040,0,0,0,5,2,0,2,1,3,0,3,20,1,0,0,6,5,2,0
2041,0,0,0,5,3,0,2,2,2,0,5,20,0,0,0,5,4,2,0
2042,0,0,0,6,3,0,2,1,2,0,3,21,0,0,0,6,4,2,0
2043,0,0,1,6,3,0,2,1,1,0,3,21,0,0,0,6,4,2,0
2044,0,0,1,6,3,0,2,1,1,0,4,21,0,0,0,5,4,2,0
2045,0,0,1,5,3,0,3,1,1,0,5,20,0,0,0,5,4,2,0
2046,0,0,2,5,3,0,2,1,1,0,4,22,0,0,0,5,3,2,0
2047,0,0,1,6,3,0,2,1,2,0,4,21,0,0,0,5,3,2,0
2048,0,0,1,6,3,0,2,1,2,0,4,20,1,0,0,6,2,2,0
2049,0,0,0,6,2,0,3,1,2,0,3,21,0,0,0,6,4,2,0
2050,0,0,0,5,2,0,3,2,2,0,3,21,1,0,0,6,3,2,0
2051,0,0,0,5,2,0,3,2,2,0,3,22,1,0,0,6,2,2,0
2052,0,0,0,5,3,0,3,2,2,0,2,22,0,0,0,6,3,2,0
2053,0,0,1,5,3,0,3,2,2,0,2,19,1,0,0,7,3,2,0
2054,0,0,1,5,2,0,3,1,2,0,2,20,1,0,0,8,3,2,0
2055,0,0,1,5,2,0,3,1,1,0,3,21,1,0,0,7,3,2,0
2056,0,0,0,5,2,0,3,2,0,0,3,21,1,0,0,7,3,3,0
2057,0,0,0,5,2,0,3,1,0,0,3,22,1,0,0,7,3,3,0
2058,0,0,0,4,2,0,3,1,1,0,3,20,1,0,1,9,3,2,0
2059,0,0,0,4,2,0,3,2,2,0,3,19,1,0,1,8,3,2,0
2060,0,0,1,4,2,0,3,2,2,0,3,20,1,0,1,5,3,3,0
2061,0,0,2,4,2,0,3,2,2,0,3,20,0,0,1,6,3,2,0
2062,0,0,3,4,2,0,3,1,2,0,3,20,1,0,1,6,3,1,0
2063,0,0,3,5,2,0,3,1,1,0,3,20,0,0,1,7,3,1,0
2064,0,0,3,5,2,0,3,1,1,0,3,19,0,0,1,8,3,1,0
2065,0,0,3,5,2,0,3,1,1,0,2,20,0,0,1,8,3,1,0
2066,0,0,3,5,1,0,3,1,1,0,2,20,1,0,1,8,3,1,0
2067,0,0,3,5,2,0,3,0,1,0,2,20,1,0,1,8,3,1,0
2068,0,0,3,4,1,0,3,0,2,0,3,20,1,0,0,9,3,1,0
2069,0,0,3,4,2,0,3,0,2,0,3,19,1,0,2,7,3,1,0
2070,0,0,3,5,2,0,3,0,2,0,3,19,1,0,2,6,3,1,0
2071,0,0,3,5,2,0,3,0,2,0,3,18,1,0,2,8,2,1,0
2072,0,0,3,5,2,0,2,0,2,0,3,19,1,0,2,7,2,2,0
2073,0,0,3,5,2,0,2,0,1,0,4,20,0,0,2,9,1,1,0
2074,0,0,4,5,1,0,2,0,1,0,5,20,0,0,2,7,1,2,0
2075,0,0,3,5,2,0,2,0,2,0,3,19,0,0,3,9,1,1,0
2076,0,0,3,4,3,0,2,0,1,0,5,18,0,0,2,9,1,2,0
2077,0,0,3,5,3,0,1,0,1,0,6,19,0,0,1,8,1,2,0
2078,0,0,4,4,3,0,1,1,2,0,2,20,0,0,1,9,1,2,0
2079,0,0,5,4,3,0,1,1,3,0,1,20,0,0,0,7,3,2,0
2080,0,0,4,5,2,0,1,1,2,0,2,20,0,0,1,8,2,2,0
2081,0,0,5,5,3,0,1,0,3,0,3,19,0,0,0,7,2,2,0
2082,0,0,4,4,2,0,1,0,2,0,4,19,0,0,1,8,3,2,0
2083,0,0,4,5,3,0,1,0,2,0,3,18,0,0,1,9,3,1,0
2084,0,0,4,4,3,0,1,0,1,0,5,19,0,0,1,8,3,1,0
2085,0,0,4,4,1,0,1,0,2,0,3,22,0,0,2,8,2,1,0
2086,0,0,3,5,2,0,1,0,2,0,4,22,0,0,2,6,2,1,0
2087,0,0,3,5,1,0,1,0,2,0,3,23,0,0,1,8,2,1,0
2088,0,0,3,4,1,0,1,0,2,0,5,21,0,0,1,9,2,1,0
2089,0,0,3,5,1,0,1,0,2,0,5,21,0,0,1,9,2,0,0
2090,0,0,3,4,2,0,1,0,2,0,6,19,0,0,1,9,3,0,0
2091,0,0,3,4,1,0,1,0,3,0,5,19,0,0,2,8,3,1,0
2092,0,0,3,4,1,0,1,0,3,0,4,21,0,0,2,8,3,0,0
2093,0,0,3,4,1,0,1,0,3,0,5,21,0,0,2,7,3,0,0
2094,0,0,3,5,2,0,1,0,2,0,6,18,0,0,2,8,3,0,0
2095,0,0,2,6,2,0,1,1,2,0,5,18,0,0,1,10,2,0,0
2096,0,0,3,6,1,0,1,1,3,0,5,15,0,0,1,11,3,0,0
2097,0,0,4,5,1,0,1,1,3,0,4,17,0,0,2,8,3,1,0
2098,0,0,4,5,3,0,2,1,2,0,4,14,0,0,2,9,3,1,0
2099,0,0,4,5,2,0,1,2,2,0,4,14,1,0,2,10,3,0,0
2100,0,0,4,5,3,0,1,2,2,0,5,13,1,0,2,9,3,0,0
2101,0,0,3,5,2,0,1,2,2,0,5,14,1,0,2,10,3,0,0
2102,0,0,2,6,1,0,3,1,1,0,4,16,1,0,2,9,4,0,0
2103,0,0,2,5,1,0,3,1,1,0,5,16,1,0,2,8,3,2,0
2104,0,0,2,5,1,0,2,1,2,0,4,16,1,0,2,8,3,3,0
2105,0,0,3,4,1,0,2,1,1,0,6,15,1,0,2,9,4,1,0
2106,0,0,2,4,1,0,2,1,2,0,6,15,1,0,2,11,2,1,0
2107,0,0,3,4,1,0,2,1,1,0,6,16,1,0,2,9,3,1,0
2108,0,0,1,5,1,0,2,2,1,0,5,15,1,0,2,10,3,2,0
2109,0,0,2,5,1,0,3,2,1,0,4,15,1,0,2,11,2,1,0
2110,0,0,2,4,2,0,4,0,2,0,7,15,1,0,2,8,3,0,0
2111,0,0,2,4,2,0,2,0,1,0,7,15,1,0,2,11,3,0,0
2112,0,0,2,4,1,0,2,0,1,0,7,15,1,0,3,11,3,0,0
2113,0,0,2,4,1,0,2,0,1,0,7,15,1,0,2,11,3,1,0
2114,0,0,2,4,1,0,2,0,1,0,7,16,1,0,2,11,3,0,0
2115,0,0,2,4,3,0,2,0,1,0,7,17,1,0,2,10,1,0,0
2116,0,0,2,6,1,0,1,0,1,0,8,16,1,0,2,11,1,0,0
